City,State,Agenda URL,Type,Notes
Wichita,KS,https://www.wichita.gov/AgendaCenter/Wichita-City-Council-Meetings-34,AgendaCenter,
Overland Park,KS,https://opkansas.civicweb.net/filepro/documents/3483/,CivicWeb,
Kansas City,KS,https://wycokck.portal.civicclerk.com/,CivicClerk,
Olathe,KS,https://olatheks.legistar.com/DepartmentDetail.aspx?ID=37138&GUID=BD3D93FA-EA9D-4DC3-A7E5-E57438E92F54&R=891b74f5-5a23-43e6-bbaf-536f8919931a,Legistar,Link seems too long
Topeka,KS,https://www.topeka.org/citycouncil/city-council-meeting-minutes/#gsc.tab=0,WordPress,"Have to click ""2025 minutes"""
Lawrence,KS,https://lawrenceks.civicweb.net/filepro/documents/132045/,CivicWeb,
Shawnee,KS,https://cityofshawnee.civicweb.net/filepro/documents/4570/,CivicWeb,
Lenexa,KS,https://www.lenexa.com/Government/Agendas-Minutes/Past-Agendas-Minutes?dlv_OC%20CL%20City%20Past%20Meetings=(dd_OC%20Meeting%20Type=City%20Council)(dd_OC%20Year=2025),OpenCities,"Had to search for ""City Council"" and ""2025"""
Manhattan,KS,https://www.manhattanks.gov/AgendaCenter/City-Commission-20,AgendaCenter,
Salina,KS,https://portal.laserfiche.com/Portal/Browse.aspx?id=556437&repo=r-ed266dde,LaserFiche?,
Hutchinson,KS,https://www.hutchinsonks.gov/269/City-Council-Agendas,CivicPlus,
Leavenworth,KS,https://www.leavenworthks.gov/meetings?date_filter%5Bvalue%5D%5Bmonth%5D=1&date_filter%5Bvalue%5D%5Bday%5D=1&date_filter%5Bvalue%5D%5Byear%5D=2025&date_filter_1%5Bvalue%5D%5Bmonth%5D=12&date_filter_1%5Bvalue%5D%5Bday%5D=31&date_filter_1%5Bvalue%5D%5Byear%5D=2025&field_microsite_tid=All&field_microsite_tid_1=27,CivicPlus,Had to add Filters
Leawood,KS,https://leawood.civicweb.net/filepro/documents/7150/,CivicWeb,
Dodge City,KS,https://www.dodgecity.org/Archive.aspx?AMID=30&Type=&ADID=,CivicPlus,
Garden City,KS,https://www.garden-city.org/129/Agendas-Minutes,,
Derby,KS,https://derby.civicweb.net/filepro/documents/4440/,CivicWeb,
Gardner,KS,https://www.gardnerkansas.gov/government/city_council/agendas_minutes.php#outer-1,Revize,
Emporia,KS,https://www.emporiaks.gov/1300/Agendas-Minutes,CivicClerk,
Prairie Village,KS,https://www.pvkansas.com/governing-body/city-council/city-council-meetings-minutes-and-packets/-toggle-all,Granicus,
Junction City,KS,https://junctioncityks.portal.civicclerk.com/,CivicClerk,
Hays,KS,https://www.haysusa.com/AgendaCenter,AgendaCenter,
Pittsburg,KS,"https://www.pittks.org/downloads/?category=city-commission,minutes",WordPress,
Liberal,KS,https://cityofliberal.org/129/Agendas-Minutes,CivicPlus,
Newton,KS,https://newtonkansas.civicweb.net/Portal/Default.aspx,CivicWeb,
Andover,KS,https://andoverks.civicweb.net/Portal/MeetingTypeList.aspx,CivicWeb,
Great Bend,KS,https://www.greatbendks.net/AgendaCenter,AgendaCenter,
McPherson,KS,https://www.mcpcity.com/AgendaCenter,AgendaCenter,
El Dorado,KS,https://www.eldoks.gov/135/Agendas-Minutes-and-Videos,CivicPlus,
Ottawa,KS,https://www.ottawaks.gov/agendas-videos-minutes,Dropbox,
Arkansas City,KS,https://www.arkcity.org/meetings,??,
Kansas City,MO,https://kansascity.legistar.com/Calendar.aspx,Legistar,"""2025"", ""Council"""